time_s,Z,N,E,H
0.0,0.2437,-0.3421,0.0289,-0.5767
0.02,-0.0792,-0.033,0.0042,-0.0467
0.04,0.1298,0.1344,0.1515,0.0643
0.06,0.2617,0.0939,0.2095,0.0054
0.08,0.0479,0.1499,0.0368,0.0531
0.1,0.2193,-0.0139,0.1111,-0.0959
0.12,-0.0484,-0.0328,-0.0543,-0.1546
0.14,0.1701,0.0326,0.1433,-0.1977
0.16,-0.0259,-0.0067,0.0444,-0.2199
0.18,0.0063,-0.1297,-0.1064,0.0036
0.2,-0.1651,-0.1465,-0.0937,-0.1924
0.22,0.1352,-0.289,0.1624,-0.0292
0.24,0.1351,0.0609,-0.0729,-0.2049
0.26,-0.0184,0.3046,0.1288,-0.0779
0.28,-0.0402,-0.1607,-0.166,-0.3119
0.3,-0.1037,0.0336,0.2246,-0.1461
0.32,-0.1031,0.0905,-0.1428,-0.1733
0.34,-0.1007,0.1216,-0.0347,0.1711
0.36,-0.1676,-0.0606,-0.1902,0.1472
0.38,0.249,-0.0538,-0.0578,-0.0344
0.4,-0.0288,-0.0472,-0.1687,0.0793
0.42,-0.1121,-0.156,0.0928,0.2658
0.44,0.0076,0.0569,-0.0352,0.1152
0.46,0.0286,-0.0225,0.0954,-0.0947
0.48,0.018,-0.0538,-0.2607,-0.0201
0.5,0.045,0.0622,0.0894,-0.2027
0.52,-0.1714,-0.0088,-0.0765,0.1829
0.54,-0.0313,-0.1037,0.1372,0.0522
0.56,0.1258,0.1632,-0.1596,0.0548
0.58,0.0428,0.2195,0.0091,-0.0984
0.6,-0.1132,0.0207,-0.0094,-0.0525
0.62,0.0769,-0.0365,0.2134,-0.0474
0.64,0.0733,0.0378,0.1821,0.1906
0.66,0.1697,-0.0681,-0.1028,0.0578
0.68,0.3278,-0.0217,-0.1497,-0.1684
0.7,-0.2166,-0.1693,-0.0775,0.0161
0.72,0.024,0.0266,-0.1936,0.2218
0.74,0.0473,0.1173,-0.0824,-0.3434
0.76,-0.0459,0.1343,0.0103,0.1628
0.78,0.0345,-0.1558,0.1174,0.2346
0.8,-0.0333,0.0178,0.0555,-0.1012
