sample_id,chunk,truth_p_s,truth_s_s,phasenet_p,pickblue_p,obst_p
XO.LT07..HH.2018.05.12.20.49.55,201805,44.99,58.72,0,1,1
XO.LT06..HH.2018.05.12.20.49.48,201805,45.0,52.5,0,1,1
XO.LT07..HH.2018.05.13.11.47.49,201805,,44.99,0,1,1
XO.LT14..HH.2018.05.13.16.49.13,201805,44.99,,0,1,1
XO.LT14..HH.2018.05.13.18.48.42,201805,44.99,,0,1,1
XO.LT06..HH.2018.05.14.09.20.39,201805,44.99,54.87,0,1,1
XO.LT07..HH.2018.05.15.13.02.52,201805,45.0,,1,1,1
XO.LD36..HH.2018.05.15.13.54.09,201805,44.99,,0,1,1
XO.LA25..HH.2018.05.15.13.54.12,201805,45.0,74.84,0,1,1
XO.LT07..HH.2018.05.15.10.17.37,201805,,44.99,0,1,1
XO.LT14..HH.2018.05.15.19.26.15,201805,44.99,56.74,0,1,1
XO.LT07..HH.2018.05.16.12.54.57,201805,45.0,52.96,0,1,1
XO.LT07..HH.2018.05.18.22.11.25,201805,44.99,55.34,0,1,1
XO.LT17..HH.2018.05.19.02.03.22,201805,44.99,59.82,0,1,1
XO.LT18..HH.2018.05.19.02.03.22,201805,45.0,60.27,0,1,1
XO.LT12..HH.2018.05.19.17.46.44,201805,45.0,53.65,0,1,1
XO.LT14..HH.2018.05.19.17.46.44,201805,45.0,54.4,0,1,1
XO.LT20..HH.2018.05.19.19.23.05,201805,45.0,53.59,0,1,1
XO.LT17..HH.2018.05.19.22.03.45,201805,44.99,56.98,0,1,1
XO.LT17..HH.2018.05.20.00.22.24,201805,44.99,58.13,0,1,1
XO.LT20..HH.2018.05.20.00.22.19,201805,44.99,52.98,0,1,1
XO.LA25..HH.2018.05.21.03.48.10,201805,44.99,80.04,0,1,1
XO.LT10..HH.2018.05.21.03.48.30,201805,,44.99,0,0,1
XO.LT14..HH.2018.05.21.04.42.07,201805,44.99,76.0,0,1,1
XO.LA30..HH.2018.05.21.04.42.52,201805,,45.0,1,1,0
XO.LA33..HH.2018.05.21.19.58.59,201805,45.0,70.45,0,1,1
XO.LT18..HH.2018.05.22.23.57.53,201805,44.99,54.5,0,1,1
XO.LT17..HH.2018.05.22.23.57.56,201805,44.99,56.52,0,0,1
XO.LT18..HH.2018.05.22.05.23.43,201805,44.99,50.96,0,1,1
XO.LT18..HH.2018.05.22.11.57.00,201805,44.99,53.0,0,1,1
XO.LT13..HH.2018.05.22.11.57.14,201805,44.99,,0,0,1
XO.LT14..HH.2018.05.23.05.00.54,201805,45.0,,0,1,1
XO.LT15..HH.2018.05.23.00.51.43,201805,,45.0,0,0,1
XO.LA25..HH.2018.05.23.00.51.49,201805,45.0,,0,1,0
XO.LD36..HH.2018.05.23.00.51.50,201805,44.99,,0,1,1
XO.LD41..HH.2018.05.24.03.19.38,201805,44.99,69.81,0,1,1
XO.LD41..HH.2018.05.24.12.30.13,201805,45.0,73.95,0,1,1
XO.LT20..HH.2018.05.25.06.03.39,201805,44.99,62.83,0,1,1
XO.LD45..HH.2018.05.25.06.30.42,201805,44.99,,0,1,1
XO.LA26..HH.2018.05.25.06.30.46,201805,44.99,,0,1,1
XO.LA34..HH.2018.05.25.06.30.56,201805,,45.0,0,0,1
XO.LA29..HH.2018.05.25.06.30.57,201805,,45.0,0,0,1
XO.LD41..HH.2018.05.25.04.54.19,201805,45.0,,0,1,1
XO.LD41..HH.2018.05.25.05.36.36,201805,45.0,,0,1,1
XO.LT04..HH.2018.05.25.08.10.32,201805,44.99,58.21,0,0,1
XO.LT04..HH.2018.05.25.08.40.15,201805,44.99,52.26,0,1,1
XO.LT18..HH.2018.05.26.11.55.24,201805,44.99,54.87,0,1,1
XO.LD44..HH.2018.05.26.11.58.59,201805,44.99,,0,1,1
XO.LA33..HH.2018.05.26.11.59.11,201805,44.99,,0,1,1
XO.LD38..HH.2018.05.26.19.37.24,201805,45.0,58.54,0,1,1
XO.LD41..HH.2018.05.26.10.39.55,201805,44.99,,0,1,1
XO.LD40..HH.2018.05.26.14.57.05,201805,,44.99,0,1,1
XO.LD41..HH.2018.05.27.16.25.34,201805,44.99,,0,1,1
XO.LA23..HH.2018.05.27.18.30.11,201805,44.99,57.08,0,1,1
XO.LT06..HH.2018.05.27.18.30.20,201805,44.99,,0,1,1
XO.LA29..HH.2018.05.27.18.30.30,201805,45.0,,0,1,1
XO.LT20..HH.2018.05.27.14.38.01,201805,,44.99,0,1,1
XO.LA32..HH.2018.05.28.07.33.19,201805,45.0,,0,1,1
XO.LT20..HH.2018.05.28.07.32.51,201805,44.99,56.79,0,1,1
XO.LD40..HH.2018.05.28.04.25.32,201805,,45.0,0,0,0
XO.LT01..HH.2018.05.28.08.07.29,201805,,44.99,1,1,1
XO.LD41..HH.2018.05.28.12.50.00,201805,,45.0,0,1,1
XO.LA39..HH.2018.05.28.12.49.32,201805,,44.99,0,1,1
XO.LD38..HH.2018.05.29.03.57.24,201805,45.0,65.39,1,1,1
XO.LT20..HH.2018.05.29.21.25.20,201805,44.99,52.84,0,1,1
XO.LT06..HH.2018.05.29.04.40.08,201805,44.99,58.58,0,1,1
XO.LT04..HH.2018.05.29.04.40.11,201805,44.99,61.71,0,1,1
XO.LT07..HH.2018.05.29.04.40.03,201805,44.99,55.34,0,1,1
XO.LA39..HH.2018.05.29.10.05.54,201805,45.0,59.69,0,1,1
XO.LT16..HH.2018.05.30.02.35.18,201805,45.0,,0,1,1
XO.LA26..HH.2018.05.30.02.35.28,201805,44.99,62.39,0,1,1
XO.LT20..HH.2018.05.30.02.35.41,201805,45.0,,0,1,1
XO.LA39..HH.2018.05.30.05.12.11,201805,,44.99,0,0,1
XO.LD41..HH.2018.05.30.20.36.25,201805,45.0,,1,1,1
XO.LA39..HH.2018.05.30.08.25.25,201805,,44.99,0,0,1
XO.LT01..HH.2018.05.30.09.48.51,201805,,44.99,0,0,0
XO.LA39..HH.2018.05.30.10.57.15,201805,45.0,62.96,0,1,1
XO.LD41..HH.2018.05.30.15.34.41,201805,44.99,,0,1,1
XO.LA39..HH.2018.05.30.19.04.27,201805,44.99,58.98,0,1,1
XO.LA39..HH.2018.05.30.21.27.46,201805,,44.99,0,1,1
XO.LT04..HH.2018.05.31.01.58.18,201805,45.0,,0,1,1
XO.LD40..HH.2018.05.31.08.14.27,201805,45.0,,0,1,1
XO.LT06..HH.2018.05.31.10.11.26,201805,,44.99,0,1,1
XO.LD40..HH.2018.05.31.19.02.50,201805,44.99,70.83,0,1,1
XO.LT18..HH.2018.05.31.17.51.09,201805,45.0,55.45,0,1,1
XO.LD41..HH.2018.05.25.12.35.29,201805,44.99,,0,1,1
XO.LT04..HH.2018.05.25.12.35.31,201805,44.99,75.2,0,1,1
XO.LT01..HH.2018.05.25.23.04.56,201805,,44.99,0,1,1
XO.LD38..HH.2018.05.27.10.36.29,201805,44.99,68.08,1,1,1
XO.LA39..HH.2018.05.29.06.56.15,201805,45.0,60.21,0,1,1
XO.LT14..HH.2018.05.30.01.52.09,201805,44.99,,0,1,1
XO.LA28..HH.2018.05.30.01.52.24,201805,,44.99,0,1,1
XO.LA39..HH.2018.05.30.08.39.12,201805,,45.0,0,0,0
XO.LD36..HH.2018.05.29.00.36.40,201805,45.0,,0,1,1
XO.LD41..HH.2018.05.29.07.10.38,201805,44.99,,0,1,1
XO.LT06..HH.2018.05.29.15.14.24,201805,45.0,54.95,0,1,1
XO.LT10..HH.2018.05.29.15.14.28,201805,45.0,58.09,0,1,1
XO.LD38..HH.2018.05.29.16.20.11,201805,45.0,50.21,0,1,1
XO.LA32..HH.2018.05.29.23.28.31,201805,45.0,,0,1,1
XO.LT09..HH.2018.05.28.09.24.23,201805,45.0,53.37,0,0,1
