sample_id,noise_level,target_snr_db,method,truth_p_s,truth_s_s,p_label_status,s_label_status,p_time_s,s_time_s,abstained,correct,unsafe_error,intercepted_or_correct
XO.LT07..HH.2018.05.12.20.49.55,L0,original,single_model,44.99,58.72,manual,manual,45.07,58.83,0,1,0,1
XO.LT07..HH.2018.05.12.20.49.55,L0,original,highest_confidence,44.99,58.72,manual,manual,45.07,58.83,0,1,0,1
XO.LT07..HH.2018.05.12.20.49.55,L0,original,trust_layer,44.99,58.72,manual,manual,45.045,58.785,0,1,0,1
XO.LT07..HH.2018.05.12.20.49.55,L1,10.0,single_model,44.99,58.72,manual,manual,45.09,58.84,0,1,0,1
XO.LT07..HH.2018.05.12.20.49.55,L1,10.0,highest_confidence,44.99,58.72,manual,manual,45.48,58.84,0,1,0,1
XO.LT07..HH.2018.05.12.20.49.55,L1,10.0,trust_layer,44.99,58.72,manual,manual,,58.78,1,0,0,1
XO.LT07..HH.2018.05.12.20.49.55,L2,5.0,single_model,44.99,58.72,manual,manual,,58.93,1,0,0,1
XO.LT07..HH.2018.05.12.20.49.55,L2,5.0,highest_confidence,44.99,58.72,manual,manual,,58.93,1,0,0,1
XO.LT07..HH.2018.05.12.20.49.55,L2,5.0,trust_layer,44.99,58.72,manual,manual,,58.879999999999995,1,0,0,1
XO.LT07..HH.2018.05.12.20.49.55,L3,2.0,single_model,44.99,58.72,manual,manual,,58.88,1,0,0,1
XO.LT07..HH.2018.05.12.20.49.55,L3,2.0,highest_confidence,44.99,58.72,manual,manual,,58.83,1,0,0,1
XO.LT07..HH.2018.05.12.20.49.55,L3,2.0,trust_layer,44.99,58.72,manual,manual,,58.855000000000004,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L0,original,single_model,45.0,52.96,automatic,manual,44.92,53.07,0,1,0,1
XO.LT07..HH.2018.05.16.12.54.57,L0,original,highest_confidence,45.0,52.96,automatic,manual,44.92,53.07,0,1,0,1
XO.LT07..HH.2018.05.16.12.54.57,L0,original,trust_layer,45.0,52.96,automatic,manual,44.97,53.03,0,1,0,1
XO.LT07..HH.2018.05.16.12.54.57,L1,10.0,single_model,45.0,52.96,automatic,manual,45.73,53.09,0,0,1,0
XO.LT07..HH.2018.05.16.12.54.57,L1,10.0,highest_confidence,45.0,52.96,automatic,manual,45.73,53.09,0,0,1,0
XO.LT07..HH.2018.05.16.12.54.57,L1,10.0,trust_layer,45.0,52.96,automatic,manual,,53.040000000000006,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L2,5.0,single_model,45.0,52.96,automatic,manual,,53.09,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L2,5.0,highest_confidence,45.0,52.96,automatic,manual,,53.09,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L2,5.0,trust_layer,45.0,52.96,automatic,manual,,53.075,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L3,2.0,single_model,45.0,52.96,automatic,manual,,53.13,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L3,2.0,highest_confidence,45.0,52.96,automatic,manual,,53.04,1,0,0,1
XO.LT07..HH.2018.05.16.12.54.57,L3,2.0,trust_layer,45.0,52.96,automatic,manual,,53.085,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L0,original,single_model,44.99,56.68,manual,manual,44.57,56.33,0,1,0,1
XO.LT10..HH.2018.05.16.21.10.06,L0,original,highest_confidence,44.99,56.68,manual,manual,45.48,56.33,0,1,0,1
XO.LT10..HH.2018.05.16.21.10.06,L0,original,trust_layer,44.99,56.68,manual,manual,,56.364999999999995,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L1,10.0,single_model,44.99,56.68,manual,manual,,,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L1,10.0,highest_confidence,44.99,56.68,manual,manual,,128.68,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L1,10.0,trust_layer,44.99,56.68,manual,manual,,,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L2,5.0,single_model,44.99,56.68,manual,manual,,,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L2,5.0,highest_confidence,44.99,56.68,manual,manual,,6.81,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L2,5.0,trust_layer,44.99,56.68,manual,manual,,,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L3,2.0,single_model,44.99,56.68,manual,manual,,,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L3,2.0,highest_confidence,44.99,56.68,manual,manual,,45.02,1,0,0,1
XO.LT10..HH.2018.05.16.21.10.06,L3,2.0,trust_layer,44.99,56.68,manual,manual,,,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L0,original,single_model,44.99,50.1,automatic,automatic,44.95,50.14,0,1,0,1
XO.LT10..HH.2018.05.18.16.34.36,L0,original,highest_confidence,44.99,50.1,automatic,automatic,44.95,50.14,0,1,0,1
XO.LT10..HH.2018.05.18.16.34.36,L0,original,trust_layer,44.99,50.1,automatic,automatic,44.985,50.07,0,1,0,1
XO.LT10..HH.2018.05.18.16.34.36,L1,10.0,single_model,44.99,50.1,automatic,automatic,,50.22,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L1,10.0,highest_confidence,44.99,50.1,automatic,automatic,,50.22,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L1,10.0,trust_layer,44.99,50.1,automatic,automatic,,50.129999999999995,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L2,5.0,single_model,44.99,50.1,automatic,automatic,,50.25,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L2,5.0,highest_confidence,44.99,50.1,automatic,automatic,,50.25,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L2,5.0,trust_layer,44.99,50.1,automatic,automatic,,50.185,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L3,2.0,single_model,44.99,50.1,automatic,automatic,,50.27,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L3,2.0,highest_confidence,44.99,50.1,automatic,automatic,,50.27,1,0,0,1
XO.LT10..HH.2018.05.18.16.34.36,L3,2.0,trust_layer,44.99,50.1,automatic,automatic,,50.16,1,0,0,1
XO.LT07..HH.2018.05.18.22.11.25,L0,original,single_model,44.99,55.34,manual,manual,44.86,55.43,0,1,0,1
XO.LT07..HH.2018.05.18.22.11.25,L0,original,highest_confidence,44.99,55.34,manual,manual,45.02,55.43,0,1,0,1
XO.LT07..HH.2018.05.18.22.11.25,L0,original,trust_layer,44.99,55.34,manual,manual,44.94,55.34,0,1,0,1
XO.LT07..HH.2018.05.18.22.11.25,L1,10.0,single_model,44.99,55.34,manual,manual,45.51,55.38,0,0,1,0
XO.LT07..HH.2018.05.18.22.11.25,L1,10.0,highest_confidence,44.99,55.34,manual,manual,45.02,55.38,0,1,0,1
XO.LT07..HH.2018.05.18.22.11.25,L1,10.0,trust_layer,44.99,55.34,manual,manual,,55.405,1,0,0,1
XO.LT07..HH.2018.05.18.22.11.25,L2,5.0,single_model,44.99,55.34,manual,manual,46.87,55.47,0,0,1,0
XO.LT07..HH.2018.05.18.22.11.25,L2,5.0,highest_confidence,44.99,55.34,manual,manual,46.87,55.47,0,0,1,0
XO.LT07..HH.2018.05.18.22.11.25,L2,5.0,trust_layer,44.99,55.34,manual,manual,,55.47,1,0,0,1
XO.LT07..HH.2018.05.18.22.11.25,L3,2.0,single_model,44.99,55.34,manual,manual,,56.19,1,0,0,1
XO.LT07..HH.2018.05.18.22.11.25,L3,2.0,highest_confidence,44.99,55.34,manual,manual,14.16,56.19,0,0,1,0
XO.LT07..HH.2018.05.18.22.11.25,L3,2.0,trust_layer,44.99,55.34,manual,manual,,56.18,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L0,original,single_model,44.99,59.82,automatic,manual,44.79,60.89,0,0,1,0
XO.LT17..HH.2018.05.19.02.03.22,L0,original,highest_confidence,44.99,59.82,automatic,manual,44.79,60.89,0,0,1,0
XO.LT17..HH.2018.05.19.02.03.22,L0,original,trust_layer,44.99,59.82,automatic,manual,,60.725,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L1,10.0,single_model,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L1,10.0,highest_confidence,44.99,59.82,automatic,manual,,140.32,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L1,10.0,trust_layer,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L2,5.0,single_model,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L2,5.0,highest_confidence,44.99,59.82,automatic,manual,,141.36,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L2,5.0,trust_layer,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L3,2.0,single_model,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L3,2.0,highest_confidence,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.02.03.22,L3,2.0,trust_layer,44.99,59.82,automatic,manual,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L0,original,single_model,44.999996566950266,53.64999590704182,automatic,automatic,44.72,53.61,0,1,0,1
XO.LT12..HH.2018.05.19.17.46.44,L0,original,highest_confidence,44.999996566950266,53.64999590704182,automatic,automatic,44.72,53.61,0,1,0,1
XO.LT12..HH.2018.05.19.17.46.44,L0,original,trust_layer,44.999996566950266,53.64999590704182,automatic,automatic,,53.565,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L1,10.0,single_model,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L1,10.0,highest_confidence,44.999996566950266,53.64999590704182,automatic,automatic,,80.9,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L1,10.0,trust_layer,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L2,5.0,single_model,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L2,5.0,highest_confidence,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L2,5.0,trust_layer,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L3,2.0,single_model,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L3,2.0,highest_confidence,44.999996566950266,53.64999590704182,automatic,automatic,,35.72,1,0,0,1
XO.LT12..HH.2018.05.19.17.46.44,L3,2.0,trust_layer,44.999996566950266,53.64999590704182,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L0,original,single_model,44.99,56.98,automatic,manual,44.92,57.34,0,1,0,1
XO.LT17..HH.2018.05.19.22.03.45,L0,original,highest_confidence,44.99,56.98,automatic,manual,44.92,57.34,0,1,0,1
XO.LT17..HH.2018.05.19.22.03.45,L0,original,trust_layer,44.99,56.98,automatic,manual,,57.510000000000005,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L1,10.0,single_model,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L1,10.0,highest_confidence,44.99,56.98,automatic,manual,,132.83,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L1,10.0,trust_layer,44.99,56.98,automatic,manual,,,1,0,0,1
