sample_id,snr_db,gap_ratio,clipping_ratio,available_channels,missing_channels,status
XO.LT07..HH.2018.05.12.20.49.55,13.6,0.0,0.0007,Z|N|E|H,,OK
XO.LT06..HH.2018.05.12.20.49.48,15.5,0.25,0.0001,Z|N|H,E,OK
XO.LT07..HH.2018.05.13.11.47.49,9.6,0.0,0.0007,Z|N|E|H,,OK
XO.LT14..HH.2018.05.13.16.49.13,10.4,0.25,0.0014,Z|N|H,E,OK
XO.LT14..HH.2018.05.13.18.48.42,10.7,0.25,0.0027,Z|N|H,E,OK
XO.LT06..HH.2018.05.14.09.20.39,15.7,0.25,0.0072,Z|N|H,E,OK
XO.LT07..HH.2018.05.15.13.02.52,6.1,0.0,0.0005,Z|N|E|H,,OK
XO.LD36..HH.2018.05.15.13.54.09,14.4,0.25,0.0007,Z|N|E,,OK
XO.LA25..HH.2018.05.15.13.54.12,13.4,0.25,0.0012,Z|N|H,E,OK
XO.LT07..HH.2018.05.15.10.17.37,9.5,0.0,0.0007,Z|N|E|H,,OK
XO.LT14..HH.2018.05.15.19.26.15,10.8,0.25,0.0035,Z|N|H,E,OK
XO.LT07..HH.2018.05.16.12.54.57,8.0,0.0,0.0006,Z|N|E|H,,OK
XO.LT07..HH.2018.05.18.22.11.25,6.3,0.0,0.0005,Z|N|E|H,,OK
XO.LT17..HH.2018.05.19.02.03.22,0.9,0.0,0.0006,Z|N|E|H,,OK
XO.LT18..HH.2018.05.19.02.03.22,13.5,0.25,0.0009,Z|N|H,E,OK
XO.LT12..HH.2018.05.19.17.46.44,7.0,0.0,0.0023,Z|N|E|H,,OK
XO.LT14..HH.2018.05.19.17.46.44,11.6,0.25,0.004,Z|N|H,E,OK
XO.LT20..HH.2018.05.19.19.23.05,12.9,0.25,0.001,Z|N|E,,OK
XO.LT17..HH.2018.05.19.22.03.45,3.5,0.0,0.0009,Z|N|E|H,,OK
XO.LT17..HH.2018.05.20.00.22.24,2.4,0.0,0.0007,Z|N|E|H,,OK
XO.LT20..HH.2018.05.20.00.22.19,14.7,0.25,0.0007,Z|N|E,,OK
XO.LA25..HH.2018.05.21.03.48.10,11.1,0.25,0.0013,Z|N|H,E,OK
XO.LT10..HH.2018.05.21.03.48.30,1.0,0.0,0.0006,Z|N|E|H,,OK
XO.LT14..HH.2018.05.21.04.42.07,9.5,0.25,0.0028,Z|N|H,E,OK
XO.LA30..HH.2018.05.21.04.42.52,9.6,0.0,0.0017,Z|N|E|H,,OK
XO.LA33..HH.2018.05.21.19.58.59,7.5,0.0,0.0009,Z|N|E|H,,OK
XO.LT18..HH.2018.05.22.23.57.53,9.0,0.25,0.0018,Z|N|H,E,OK
XO.LT17..HH.2018.05.22.23.57.56,2.8,0.0,0.0006,Z|N|E|H,,OK
XO.LT18..HH.2018.05.22.05.23.43,12.0,0.25,0.002,Z|N|H,E,OK
XO.LT18..HH.2018.05.22.11.57.00,9.5,0.25,0.0008,Z|N|H,E,OK
XO.LT13..HH.2018.05.22.11.57.14,1.0,0.0,0.0006,Z|N|E|H,,OK
XO.LT14..HH.2018.05.23.05.00.54,11.5,0.25,0.0028,Z|N|H,E,OK
XO.LT15..HH.2018.05.23.00.51.43,3.2,0.0,0.0002,Z|N|E|H,,OK
XO.LA25..HH.2018.05.23.00.51.49,11.7,0.25,0.0014,Z|N|H,E,OK
XO.LD36..HH.2018.05.23.00.51.50,13.8,0.25,0.001,Z|N|E,,OK
XO.LD41..HH.2018.05.24.03.19.38,11.2,0.25,0.0004,Z|N|E,,OK
XO.LD41..HH.2018.05.24.12.30.13,11.1,0.25,0.0007,Z|N|E,,OK
XO.LT20..HH.2018.05.25.06.03.39,14.5,0.25,0.0015,Z|N|E,,OK
XO.LD45..HH.2018.05.25.06.30.42,14.3,0.25,0.0027,Z|N|E,,OK
XO.LA26..HH.2018.05.25.06.30.46,16.9,0.0,0.0053,Z|N|E|H,,OK
XO.LA34..HH.2018.05.25.06.30.56,7.8,0.0,0.0003,Z|N|E|H,,OK
XO.LA29..HH.2018.05.25.06.30.57,3.4,0.0,0.0005,Z|N|E|H,,OK
XO.LD41..HH.2018.05.25.04.54.19,11.8,0.25,0.0011,Z|N|E,,OK
