sample_id,p_onset_s,s_onset_s,p_peak_ratio,s_peak_ratio
XO.LA21..HH.2018.05.27.04.41.09,,,,
XO.LA21..HH.2018.06.20.05.24.43,44.64,60.82,9.97174342274662,5.022533183836845
XO.LA21..HH.2018.06.25.11.14.34,45.05,,8.918337262452177,
XO.LA21..HH.2018.06.27.13.14.06,45.07,52.22,7.004299862105648,6.301356485688314
XO.LA21..HH.2018.07.02.10.35.26,51.27,,5.524208093395728,
XO.LA21..HH.2018.07.03.19.18.22,44.55,53.06,9.99343103262581,5.384978227242064
XO.LA21..HH.2018.07.08.15.13.59,44.98,,9.984561288714266,
XO.LA21..HH.2018.07.23.11.32.04,45.12,,8.740406762868034,
XO.LA21..HH.2018.07.25.18.34.32,45.02,,9.751930815470418,
XO.LA23..HH.2018.05.27.18.30.11,45.16,,5.467007100694427,
XO.LA23..HH.2018.06.01.18.42.04,56.68,89.7,5.320635413479253,5.140463970697513
XO.LA23..HH.2018.07.15.00.15.03,38.33,,5.761292455835657,
XO.LA23..HH.2018.07.25.06.12.38,98.62,131.5,5.052924260727691,5.25223575968163
XO.LA23..HH.2018.07.27.17.13.42,129.98,,5.578155928122812,
XO.LA25..HH.2018.05.15.13.54.12,45.32,48.91,8.228508744206891,6.565913768186521
XO.LA25..HH.2018.05.21.03.48.10,45.1,48.68,7.8049852052678,6.724377813142932
XO.LA25..HH.2018.05.23.00.51.49,45.12,67.04,8.05542801489039,7.44784454961393
XO.LA25..HH.2018.05.27.04.41.28,46.28,,6.65515425803796,
XO.LA25..HH.2018.06.01.20.34.52,45.33,,6.0846351747704475,
XO.LA25..HH.2018.06.04.11.08.53,45.43,49.67,8.422774565074143,5.059920360151365
XO.LA25..HH.2018.06.19.18.55.00,,,,
XO.LA25..HH.2018.06.20.11.13.35,24.47,,5.035725109016612,
XO.LA25..HH.2018.07.01.19.54.40,45.65,104.98,9.084198740659835,5.241247072343362
XO.LA25..HH.2018.07.19.14.16.25,45.3,,9.845604524539407,
XO.LA25..HH.2018.07.24.14.29.30,44.99,,7.192294118274577,
XO.LA25..HH.2018.07.25.21.38.31,45.06,,9.145674301561469,
XO.LA25..HH.2018.07.27.17.13.11,,,,
XO.LA26..HH.2018.05.25.06.30.46,46.21,65.46,6.175892470275235,5.261826268427778
XO.LA26..HH.2018.05.30.02.35.28,46.07,62.83,8.778075318650501,8.56606156411561
XO.LA26..HH.2018.06.21.02.35.46,45.92,60.54,8.468516165471582,7.446971889815649
XO.LA26..HH.2018.07.02.10.35.32,45.6,60.06,6.534621972182915,6.321991819451186
XO.LA26..HH.2018.07.08.15.13.51,146.29,,9.848874644725575,
XO.LA26..HH.2018.07.17.17.35.05,46.46,72.11,6.699170212345464,7.798093170801449
XO.LA26..HH.2018.07.26.08.11.23,,,,
XO.LA28..HH.2018.05.30.01.52.24,45.36,,8.743387410734757,
XO.LA28..HH.2018.06.01.20.35.12,45.87,,8.05793114665051,
XO.LA28..HH.2018.06.07.18.32.07,14.23,45.05,5.429118643581672,9.150574080791417
XO.LA28..HH.2018.06.09.23.45.12,,,,
XO.LA28..HH.2018.06.11.16.27.43,37.67,69.05,7.59246977941228,7.745026083576341
XO.LA28..HH.2018.07.07.12.18.05,45.02,78.71,8.746001619344996,9.076908054210042
XO.LA28..HH.2018.07.19.14.45.01,45.14,75.35,6.882565093553289,7.854741188621647
XO.LA28..HH.2018.07.19.21.16.06,9.71,45.08,6.793267211564878,9.30200628477369
XO.LA28..HH.2018.07.25.06.12.35,45.07,81.5,7.33763547863858,7.692741328455441
XO.LA28..HH.2018.07.25.21.38.27,16.18,46.95,5.406427799522904,6.30682995515055
XO.LA29..HH.2018.05.25.06.30.57,45.83,149.74,7.597407461157252,9.692821828364815
XO.LA29..HH.2018.05.27.18.30.30,44.12,73.3,8.724456256412001,5.328377648007965
XO.LA29..HH.2018.05.28.09.24.23,45.67,54.37,5.129979037265276,7.324723920351996
