sample_id,P_time_s,S_time_s,label,noise_level,channels
syn_0000,29.97,39.23,EARTHQUAKE,L0,ZNEH
syn_0001,25.1,38.44,EARTHQUAKE,L1,ZNEH
syn_0002,12.57,31.51,EARTHQUAKE,L1,ZNEH
syn_0003,29.48,38.95,EARTHQUAKE,L0,ZNEH
syn_0004,23.26,35.04,EARTHQUAKE,L1,ZNEH
syn_0005,15.96,30.44,EARTHQUAKE,L0,ZNEH
syn_0006,14.21,27.59,EARTHQUAKE,L1,ZNEH
syn_0007,16.7,27.59,EARTHQUAKE,L1,ZNEH
syn_0008,17.52,28.54,EARTHQUAKE,L0,ZNEH
syn_0009,12.99,26.6,EARTHQUAKE,L0,ZNEH
syn_0010,19.92,38.44,EARTHQUAKE,L0,ZNEH
syn_0011,28.04,36.21,EARTHQUAKE,L0,ZNEH
syn_0012,11.58,22.77,EARTHQUAKE,L1,ZNEH
syn_0013,20.04,35.12,EARTHQUAKE,L1,ZNEH
syn_0014,13.3,24.73,EARTHQUAKE,L0,ZNEH
syn_0015,18.63,46.03,EARTHQUAKE,L3,ZNEH
syn_0016,15.74,30.88,EARTHQUAKE,L3,ZNEH
syn_0017,11.87,25.73,EARTHQUAKE,L2,ZNEH
syn_0018,16.39,25.66,EARTHQUAKE,L3,ZNEH
syn_0019,29.71,43.05,EARTHQUAKE,L2,ZNEH
syn_0020,31.67,46.28,EARTHQUAKE,L2,ZNEH
syn_0021,22.0,33.38,EARTHQUAKE,L3,ZNEH
syn_0022,30.7,42.0,EARTHQUAKE,L3,ZNEH
syn_0023,34.72,61.08,EARTHQUAKE,L2,ZNEH
syn_0024,11.77,31.04,EARTHQUAKE,L3,ZNEH
syn_0025,12.26,22.95,EARTHQUAKE,L2,ZNEH
syn_0026,11.47,17.09,EARTHQUAKE,L3,ZNEH
syn_0027,32.45,47.83,EARTHQUAKE,L2,ZNEH
syn_0028,16.52,35.85,EARTHQUAKE,L2,ZNEH
syn_0029,28.31,51.61,EARTHQUAKE,L3,ZNEH
syn_0030,-1,-1,NOISE,L2,ZNEH
syn_0031,-1,-1,NOISE,L1,ZNEH
syn_0032,-1,-1,NOISE,L1,ZNEH
syn_0033,-1,-1,NOISE,L1,ZNEH
syn_0034,-1,-1,NOISE,L2,ZNEH
syn_0035,-1,-1,NOISE,L0,ZNEH
syn_0036,-1,-1,NOISE,L1,ZNEH
syn_0037,-1,-1,NOISE,L2,ZNEH
syn_0038,-1,-1,NOISE,L2,ZNEH
syn_0039,-1,-1,NOISE,L2,ZNEH
syn_0040,-1,-1,NOISE,L0,ZNEH
syn_0041,-1,-1,NOISE,L0,ZNEH
syn_0042,-1,-1,NOISE,L0,ZNEH
syn_0043,-1,-1,NOISE,L0,ZNEH
syn_0044,-1,-1,NOISE,L0,ZNEH
syn_0045,15.18,28.26,EARTHQUAKE,L0,ZNE
syn_0046,17.98,31.84,EARTHQUAKE,L0,ZNE
syn_0047,18.44,34.2,EARTHQUAKE,L1,ZNE
syn_0048,24.82,43.32,EARTHQUAKE,L0,ZNE
syn_0049,23.13,31.48,EARTHQUAKE,L1,ZNE
syn_0050,18.96,37.41,EARTHQUAKE,L0,ZNE
syn_0051,26.15,42.39,EARTHQUAKE,L1,ZNE
syn_0052,28.09,46.54,EARTHQUAKE,L0,ZNE
syn_0053,27.72,40.63,EARTHQUAKE,L1,ZNE
syn_0054,25.95,42.35,EARTHQUAKE,L0,ZNE
syn_0055,25.85,45.08,EARTHQUAKE,L1,ZNEH
syn_0056,24.04,38.64,EARTHQUAKE,L0,ZNEH
syn_0057,11.53,22.79,EARTHQUAKE,L1,ZNEH
syn_0058,11.16,25.83,EARTHQUAKE,L0,ZNEH
syn_0059,28.78,48.72,EARTHQUAKE,L0,ZNEH
syn_0060,22.91,33.56,EARTHQUAKE,L1,ZNEH
syn_0061,26.51,42.92,EARTHQUAKE,L0,ZNEH
syn_0062,24.08,38.8,EARTHQUAKE,L0,ZNEH
syn_0063,21.56,34.9,EARTHQUAKE,L0,ZNEH
syn_0064,29.75,39.25,EARTHQUAKE,L1,ZNEH
