noise_level,method,total,correct,abstained,unsafe_errors,accuracy_rate,coverage_rate,selective_accuracy,abstention_rate,unsafe_output_rate,safe_handling_rate,safe_handling_ci95_low,safe_handling_ci95_high,p_mae_s_on_emitted,s_mae_s_on_emitted,interception_rate
L0,single_model,20,18,0,2,0.9,1.0,0.9,0.0,0.1,0.9,0.6989617935882066,0.9721341060158468,0.15100051484097782,1.4134992742041317,0.9
L0,highest_confidence,20,18,0,2,0.9,1.0,0.9,0.0,0.1,0.9,0.6989617935882066,0.9721341060158468,0.14950051484097743,1.4339992742041319,0.9
L0,trust_layer,20,8,12,0,0.4,0.4,1.0,0.6,0.0,1.0,0.8388698745050667,1.0,0.03312585811682922,0.0481259662092004,1.0
L1,single_model,20,1,15,4,0.05,0.25,0.2,0.75,0.2,0.8,0.5839782779742401,0.9193436467288,2.178000686493462,2.4579992025750514,0.8
L1,highest_confidence,20,2,15,3,0.1,0.25,0.4,0.75,0.15,0.85,0.6395767041130426,0.9476322080405041,2.1900006864934625,2.4579992025750514,0.85
L1,trust_layer,20,0,20,0,0.0,0.0,0.0,1.0,0.0,1.0,0.8388698745050667,1.0,,,1.0
L2,single_model,20,0,19,1,0.0,0.05,0.0,0.95,0.05,0.95,0.7638641064874331,0.9911187805671268,1.8799999999999955,0.12999999999999545,0.95
L2,highest_confidence,20,0,18,2,0.0,0.1,0.0,0.9,0.1,0.9,0.6989617935882066,0.9721341060158468,1.2199999999999989,0.3299999999999983,0.9
L2,trust_layer,20,0,20,0,0.0,0.0,0.0,1.0,0.0,1.0,0.8388698745050667,1.0,,,1.0
L3,single_model,20,0,19,1,0.0,0.05,0.0,0.95,0.05,0.95,0.7638641064874331,0.9911187805671268,5.09000343246732,0.17999601287525024,0.95
L3,highest_confidence,20,0,18,2,0.0,0.1,0.0,0.9,0.1,0.9,0.6989617935882066,0.9721341060158468,17.960001716233663,0.5149980064376223,0.9
L3,trust_layer,20,0,20,0,0.0,0.0,0.0,1.0,0.0,1.0,0.8388698745050667,1.0,,,1.0
