sample_id,truth_p_s,detected,matched,missed,false_triggers,trigger_count,first_trigger_s
XO.LT07..HH.2018.05.12.20.49.55,44.99,1,1,0,4,5,5.07
XO.LT07..HH.2018.05.16.12.54.57,45.0,1,1,0,2,3,45.05
XO.LT10..HH.2018.05.16.21.10.06,44.99,1,0,1,7,7,18.24
XO.LT10..HH.2018.05.18.16.34.36,44.99,1,1,0,6,7,37.04
XO.LT07..HH.2018.05.18.22.11.25,44.99,1,1,0,2,4,43.55
XO.LT17..HH.2018.05.19.02.03.22,44.99,1,0,1,6,6,8.07
XO.LT12..HH.2018.05.19.17.46.44,44.999996566950266,1,0,1,7,7,14.25
XO.LT17..HH.2018.05.19.22.03.45,44.99,1,1,0,7,8,9.74
XO.LT17..HH.2018.05.20.00.22.24,44.99,1,0,1,2,2,35.91
XO.LA33..HH.2018.05.21.19.58.59,45.0,1,1,0,7,8,11.1
XO.LT17..HH.2018.05.22.23.57.56,44.99,1,0,1,6,6,23.65
XO.LT04..HH.2018.05.25.08.10.32,44.99000343246732,1,0,1,5,5,74.88
XO.LT04..HH.2018.05.25.08.40.15,44.99000343246732,1,1,0,8,9,5.0
XO.LT04..HH.2018.05.25.12.35.31,44.99000343246732,1,0,1,7,7,15.75
XO.LA23..HH.2018.05.27.18.30.11,44.99,1,1,0,6,8,10.73
XO.LT13..HH.2018.05.27.23.08.14,44.99,1,0,1,8,8,13.6
XO.LA29..HH.2018.05.28.09.24.23,44.999996566950266,1,0,1,3,3,9.02
XO.LA32..HH.2018.05.28.09.24.25,44.999996566950266,1,1,0,6,7,5.34
XO.LT09..HH.2018.05.28.09.24.23,45.0,1,1,0,6,7,10.76
XO.LT04..HH.2018.05.28.22.01.04,44.99000343246732,1,0,1,8,8,17.2
