strategy,target_coverage_pct,coverage_pct,unsafe_output_rate_pct,review_burden_pct,error_interception_rate_pct,max_coverage_pct,feasible,comparison_status,config_version,config_hash,parent_config
Single-PhaseNet,50,9.95,,90.05,,9.95,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PhaseNet,60,9.95,,90.05,,9.95,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PhaseNet,70,9.95,,90.05,,9.95,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PhaseNet,80,9.95,,90.05,,9.95,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PhaseNet,90,9.95,,90.05,,9.95,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PickBlue,50,50.0,7.66,50.0,76.19,95.79,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PickBlue,60,60.03,8.04,39.97,70.0,95.79,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PickBlue,70,69.98,9.19,30.02,60.0,95.79,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PickBlue,80,80.02,10.24,19.98,49.05,95.79,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-PickBlue,90,89.97,11.23,10.03,37.14,95.79,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-OBSTransformer,50,50.0,14.24,50.0,67.6,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-OBSTransformer,60,60.03,15.05,39.97,58.89,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-OBSTransformer,70,69.98,16.3,30.02,48.08,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-OBSTransformer,80,80.02,17.8,19.98,35.19,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-OBSTransformer,90,89.97,18.89,10.03,22.65,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-EQTransformer,50,50.0,7.2,50.0,79.3,95.56,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-EQTransformer,60,60.03,7.4,39.97,74.45,95.56,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-EQTransformer,70,69.98,7.77,30.02,68.72,95.56,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-EQTransformer,80,80.02,9.19,19.98,57.71,95.56,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Single-EQTransformer,90,89.97,11.57,10.03,40.09,95.56,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
MaxConf,50,50.0,12.56,50.0,67.97,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
MaxConf,60,60.03,14.16,39.97,56.64,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
MaxConf,70,69.98,15.43,30.02,44.92,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
MaxConf,80,80.02,16.27,19.98,33.59,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
MaxConf,90,89.97,17.79,10.03,18.36,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Voting,50,50.0,4.59,50.0,82.46,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Voting,60,60.03,5.87,39.97,73.1,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Voting,70,69.98,6.46,30.02,65.5,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Voting,80,80.02,7.85,19.98,52.05,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Voting,90,89.82,9.46,10.18,35.09,99.16,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Traditional-STA/LTA,50,50.0,43.49,50.0,68.48,70.37,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Traditional-STA/LTA,60,60.03,49.87,39.97,56.6,70.37,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Traditional-STA/LTA,70,69.98,55.69,30.02,43.51,70.37,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Traditional-STA/LTA,80,70.37,,29.63,,70.37,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Traditional-STA/LTA,90,70.37,,29.63,,70.37,false,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Random,50,50.0,20.42,50.0,53.51,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
Random,60,60.0,20.53,40.0,43.93,98.01,true,COMPARABLE,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea,semifinal_v1.5
