sample_id,phase,station,split,truth_s,selected_time_s,action,risk,verdict,auto_at_50pct,snr_db,gap_ratio,clipping_ratio,missing_channels,config_version,config_hash
XO.LT07..HH.2018.05.13.11.47.49,S,LT07,main,44.99,95.145,FUSE,22.3,wrong,NOT_EVALUABLE,9.6,0.0,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT06..HH.2018.05.14.09.20.39,P,LT06,main,44.99,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,15.7,0.25,0.0072,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT07..HH.2018.05.15.13.02.52,P,LT07,main,45.0,,ABSTAIN,6.0,no_pick,NOT_EVALUABLE,6.1,0.0,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.15.13.54.09,P,LD36,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,14.4,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.05.15.13.54.12,S,LA25,holdout,74.84,,ABSTAIN,46.3,no_pick,NOT_EVALUABLE,13.4,0.25,0.0012,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT07..HH.2018.05.18.22.11.25,P,LT07,main,44.99,,ABSTAIN,6.0,no_pick,NOT_EVALUABLE,6.3,0.0,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT07..HH.2018.05.18.22.11.25,S,LT07,main,55.34,,ABSTAIN,6.0,no_pick,NOT_EVALUABLE,6.3,0.0,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT17..HH.2018.05.19.02.03.22,P,LT17,main,44.99,,ABSTAIN,18.6,no_pick,NOT_EVALUABLE,0.9,0.0,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT17..HH.2018.05.19.02.03.22,S,LT17,main,59.82,,ABSTAIN,6.3,no_pick,NOT_EVALUABLE,0.9,0.0,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT18..HH.2018.05.19.02.03.22,S,LT18,holdout,60.27,,ABSTAIN,46.3,no_pick,NOT_EVALUABLE,13.5,0.25,0.0009,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
