sample_id,phase,station,split,reference_time_s,action,risk,selected_time_s,auto_capable,verdict
XO.LT07..HH.2018.05.12.20.49.55,P,LT07,main,44.99,FUSE,0.0,45.02,True,correct
XO.LT07..HH.2018.05.12.20.49.55,S,LT07,main,58.72,FUSE,0.0,58.76,True,correct
XO.LT06..HH.2018.05.12.20.49.48,P,LT06,main,45.0,FUSE,4.3,45.03,True,correct
XO.LT06..HH.2018.05.12.20.49.48,S,LT06,main,52.5,FUSE,4.3,52.65,True,correct
XO.LT07..HH.2018.05.13.11.47.49,S,LT07,main,44.99,FUSE,22.3,95.145,True,wrong
XO.LT14..HH.2018.05.13.16.49.13,P,LT14,main,44.99,FUSE,4.3,45.0,True,correct
XO.LT14..HH.2018.05.13.18.48.42,P,LT14,main,44.99,FUSE,4.3,45.085,True,correct
XO.LT06..HH.2018.05.14.09.20.39,P,LT06,main,44.99,ABSTAIN,22.8,,False,no_pick
XO.LT06..HH.2018.05.14.09.20.39,S,LT06,main,54.87,FUSE,4.3,54.975,True,correct
XO.LT07..HH.2018.05.15.13.02.52,P,LT07,main,45.0,ABSTAIN,6.0,,False,no_pick
XO.LD36..HH.2018.05.15.13.54.09,P,LD36,main,44.99,ROUTE,21.3,45.03,True,correct
XO.LA25..HH.2018.05.15.13.54.12,P,LA25,holdout,45.0,FUSE,9.3,45.075,True,correct
XO.LA25..HH.2018.05.15.13.54.12,S,LA25,holdout,74.84,ABSTAIN,46.3,,False,no_pick
XO.LT07..HH.2018.05.15.10.17.37,S,LT07,holdout,44.99,FUSE,0.0,45.06,True,correct
XO.LT14..HH.2018.05.15.19.26.15,P,LT14,main,44.99,FUSE,4.3,44.99,True,correct
XO.LT14..HH.2018.05.15.19.26.15,S,LT14,main,56.74,FUSE,4.3,56.685,True,correct
XO.LT07..HH.2018.05.16.12.54.57,P,LT07,main,45.0,FUSE,0.0,44.92,True,correct
XO.LT07..HH.2018.05.16.12.54.57,S,LT07,main,52.96,FUSE,0.0,52.99,True,correct
XO.LT07..HH.2018.05.18.22.11.25,P,LT07,main,44.99,ABSTAIN,6.0,,False,no_pick
XO.LT07..HH.2018.05.18.22.11.25,S,LT07,main,55.34,ABSTAIN,6.0,,False,no_pick
XO.LT17..HH.2018.05.19.02.03.22,P,LT17,main,44.99,ABSTAIN,18.6,,False,no_pick
XO.LT17..HH.2018.05.19.02.03.22,S,LT17,main,59.82,ABSTAIN,6.3,,False,no_pick
XO.LT18..HH.2018.05.19.02.03.22,P,LT18,holdout,45.0,FUSE,9.3,44.965,True,correct
XO.LT18..HH.2018.05.19.02.03.22,S,LT18,holdout,60.27,ABSTAIN,46.3,,False,no_pick
XO.LT12..HH.2018.05.19.17.46.44,P,LT12,main,45.0,FUSE,1.0,44.72,True,correct
XO.LT12..HH.2018.05.19.17.46.44,S,LT12,main,53.65,FUSE,1.0,53.59,True,correct
XO.LT14..HH.2018.05.19.17.46.44,P,LT14,main,45.0,FUSE,14.3,45.005,True,correct
XO.LT14..HH.2018.05.19.17.46.44,S,LT14,main,54.4,FUSE,14.3,54.665,True,correct
XO.LT20..HH.2018.05.19.19.23.05,P,LT20,main,45.0,ROUTE,21.3,45.05,True,correct
XO.LT20..HH.2018.05.19.19.23.05,S,LT20,main,53.59,ROUTE,21.3,53.47,True,correct
XO.LT17..HH.2018.05.19.22.03.45,P,LT17,main,44.99,FUSE,13.3,44.945,True,correct
XO.LT17..HH.2018.05.19.22.03.45,S,LT17,main,56.98,FUSE,1.0,57.68,True,correct
XO.LT17..HH.2018.05.20.00.22.24,P,LT17,main,44.99,FUSE,13.6,44.985,True,correct
XO.LT17..HH.2018.05.20.00.22.24,S,LT17,main,58.13,FUSE,13.6,57.515,True,correct
XO.LT20..HH.2018.05.20.00.22.19,P,LT20,holdout,44.99,ROUTE,21.3,44.99,True,correct
XO.LT20..HH.2018.05.20.00.22.19,S,LT20,holdout,52.98,ROUTE,21.3,53.15,True,correct
XO.LA25..HH.2018.05.21.03.48.10,P,LA25,holdout,44.99,ABSTAIN,42.8,,False,no_pick
XO.LA25..HH.2018.05.21.03.48.10,S,LA25,holdout,80.04,ABSTAIN,61.3,,False,no_pick
XO.LT10..HH.2018.05.21.03.48.30,S,LT10,main,44.99,FUSE,18.6,45.365,True,correct
XO.LT14..HH.2018.05.21.04.42.07,P,LT14,main,44.99,FUSE,4.3,45.265,True,correct
XO.LT14..HH.2018.05.21.04.42.07,S,LT14,main,76.0,FUSE,4.3,76.06,True,correct
XO.LA30..HH.2018.05.21.04.42.52,S,LA30,main,45.0,ABSTAIN,10.0,,False,no_pick
XO.LA33..HH.2018.05.21.19.58.59,P,LA33,main,45.0,FUSE,6.0,45.02,True,correct
XO.LA33..HH.2018.05.21.19.58.59,S,LA33,main,70.45,FUSE,18.3,70.495,True,correct
XO.LT18..HH.2018.05.22.23.57.53,P,LT18,main,44.99,ABSTAIN,22.8,,False,no_pick
XO.LT18..HH.2018.05.22.23.57.53,S,LT18,main,54.5,FUSE,4.3,54.735,True,correct
XO.LT17..HH.2018.05.22.23.57.56,P,LT17,main,44.99,FUSE,1.3,44.485,True,wrong
XO.LT17..HH.2018.05.22.23.57.56,S,LT17,main,56.52,FUSE,1.3,56.42,True,correct
XO.LT18..HH.2018.05.22.05.23.43,P,LT18,main,44.99,FUSE,4.3,44.985,True,correct
XO.LT18..HH.2018.05.22.05.23.43,S,LT18,main,50.96,FUSE,4.3,50.895,True,correct
XO.LT18..HH.2018.05.22.11.57.00,P,LT18,main,44.99,FUSE,4.3,44.995,True,correct
XO.LT18..HH.2018.05.22.11.57.00,S,LT18,main,53.0,FUSE,4.3,52.65,True,correct
XO.LT13..HH.2018.05.22.11.57.14,P,LT13,main,44.99,ABSTAIN,11.3,,False,no_pick
XO.LT14..HH.2018.05.23.05.00.54,P,LT14,main,45.0,FUSE,4.3,45.11,True,correct
XO.LT15..HH.2018.05.23.00.51.43,S,LT15,main,45.0,ABSTAIN,16.0,,False,no_pick
XO.LA25..HH.2018.05.23.00.51.49,P,LA25,main,45.0,ROUTE,22.8,45.02,True,correct
XO.LD36..HH.2018.05.23.00.51.50,P,LD36,main,44.99,ROUTE,21.3,45.07,True,correct
XO.LD41..HH.2018.05.24.03.19.38,P,LD41,main,44.99,ROUTE,21.3,43.93,True,wrong
XO.LD41..HH.2018.05.24.03.19.38,S,LD41,main,69.81,ROUTE,21.3,70.02,True,correct
XO.LD41..HH.2018.05.24.12.30.13,P,LD41,main,45.0,ROUTE,26.3,44.73,True,correct
XO.LD41..HH.2018.05.24.12.30.13,S,LD41,main,73.95,ROUTE,26.3,73.78,True,correct
