strategy,review_budget_pct,errors_intercepted,total_errors,interception_rate_pct,precision_pct,config_version,config_hash
Random,0,0.0,746,0.0,0.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,1,7.2,746,0.97,55.69,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,2,14.5,746,1.95,55.81,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,3,22.3,746,2.99,57.23,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,4,30.0,746,4.02,57.67,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,5,37.4,746,5.02,57.62,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,6,45.1,746,6.05,57.82,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,7,52.3,746,7.01,57.51,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,8,60.0,746,8.04,57.7,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,9,67.9,746,9.1,57.53,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,10,75.2,746,10.08,57.43,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,11,82.5,746,11.06,57.3,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,12,90.1,746,12.08,57.41,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,13,97.4,746,13.06,57.3,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,14,104.5,746,14.01,57.1,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,15,112.2,746,15.05,57.27,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,16,119.7,746,16.05,57.28,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,17,127.2,746,17.06,57.32,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,18,134.6,746,18.05,57.3,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,19,142.2,746,19.06,57.33,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,20,149.4,746,20.03,57.24,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,21,156.9,746,21.03,57.26,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,22,164.0,746,21.98,57.14,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,23,171.3,746,22.97,57.11,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,24,178.7,746,23.96,57.1,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,25,186.1,746,24.95,57.09,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
